timestamp,prb_utilization,active_ue_count,throughput_mbps,latency_ms,handover_success_rate,snr_db,packet_loss_rate,is_anomaly
2025-08-19 17:17:50.675308,52.45,210,288.94,3.36,0.717,15.35,0.004052,False
2025-08-19 17:18:50.675308,37.12,192,162.01,9.57,0.8926,8.7,0.030759,False
2025-08-19 17:19:50.675308,46.01,204,186.02,9.48,0.7,11.83,0.013671,False
2025-08-19 17:20:50.675308,42.57,189,316.71,8.33,0.7,21.37,0.004363,False
2025-08-19 17:21:50.675308,43.27,195,275.91,16.12,0.8544,24.66,0.026113,False
2025-08-19 17:22:50.675308,58.32,212,232.86,17.91,0.8592,18.51,0.007866,False
2025-08-19 17:23:50.675308,7.3,2,952.16,0.19,0.9943,38.03,0.260025,True
2025-08-19 17:24:50.675308,33.27,204,333.92,3.82,0.7572,8.26,0.00223,False
2025-08-19 17:25:50.675308,58.39,198,377.01,5.14,0.7181,17.95,0.020865,False
2025-08-19 17:26:50.675308,0.01,0,938.49,193.15,0.9956,49.58,0.000247,True
2025-08-19 17:27:50.675308,28.91,200,220.59,4.61,0.774,29.14,0.005427,False
2025-08-19 17:28:50.675308,56.28,210,412.42,8.14,0.9168,27.39,0.001,False
2025-08-19 17:29:50.675308,70.6,188,369.89,3.53,0.7,13.73,0.051724,False
2025-08-19 17:30:50.675308,40.17,219,383.51,8.48,0.8779,18.35,0.046135,False
2025-08-19 17:31:50.675308,23.4,194,395.26,20.19,0.7955,22.34,0.001,False
2025-08-19 17:32:50.675308,34.28,184,383.95,4.03,0.9319,10.96,0.020975,False
2025-08-19 17:33:50.675308,51.37,203,375.24,5.67,0.8694,22.21,0.031677,False
2025-08-19 17:34:50.675308,57.41,200,187.49,12.25,0.8148,18.9,0.056422,False
2025-08-19 17:35:50.675308,9.54,3,21.41,0.49,0.9985,40.59,0.39361,True
2025-08-19 17:36:50.675308,27.78,189,411.17,5.12,0.7,25.25,0.001702,False
2025-08-19 17:37:50.675308,23.46,186,255.52,19.42,0.9538,35.0,0.007954,False
2025-08-19 17:38:50.675308,47.25,189,311.27,4.89,0.7,19.62,0.036906,False
2025-08-19 17:39:50.675308,52.78,186,238.76,3.14,0.9484,5.0,0.005777,False
2025-08-19 17:40:50.675308,71.72,198,245.81,2.79,0.7,10.53,0.00256,False
2025-08-19 17:41:50.675308,48.43,193,277.55,33.1,0.853,28.77,0.020984,False
2025-08-19 17:42:50.675308,40.13,200,341.97,11.22,0.8337,29.38,0.022612,False
2025-08-19 17:43:50.675308,52.97,203,338.5,9.87,0.9394,24.73,0.004831,False
2025-08-19 17:44:50.675308,90.39,953,936.32,113.82,0.2079,-1.23,0.000968,True
2025-08-19 17:45:50.675308,56.21,195,348.83,5.33,0.9169,20.1,0.035027,False
2025-08-19 17:46:50.675308,58.96,192,325.93,26.06,0.8994,35.0,0.00797,False
2025-08-19 17:47:50.675308,62.37,213,363.33,2.77,0.7806,17.53,0.00249,False
2025-08-19 17:48:50.675308,57.06,183,234.22,2.7,0.881,21.86,0.086309,False
2025-08-19 17:49:50.675308,23.28,195,187.4,14.01,0.7,17.58,0.012647,False
2025-08-19 17:50:50.675308,44.93,170,325.82,12.96,0.7853,23.21,0.04059,False
2025-08-19 17:51:50.675308,48.36,174,301.01,29.87,0.8758,29.6,0.046285,False
2025-08-19 17:52:50.675308,92.81,969,855.48,126.59,0.1751,-7.4,0.258335,True
2025-08-19 17:53:50.675308,72.24,204,290.18,8.96,0.9478,21.52,0.030066,False
2025-08-19 17:54:50.675308,50.11,195,298.9,5.99,0.7,21.75,0.015286,False
2025-08-19 17:55:50.675308,37.73,203,248.46,4.21,0.9383,12.51,0.042111,False
2025-08-19 17:56:50.675308,10.0,215,278.54,15.56,0.7,24.75,0.0327,False
2025-08-19 17:57:50.675308,63.19,222,304.33,10.1,0.8058,16.37,0.01199,False
2025-08-19 17:58:50.675308,41.05,201,342.78,14.74,0.8858,21.02,0.008536,False
2025-08-19 17:59:50.675308,2.09,0,880.06,101.83,0.1235,37.58,0.437627,True
2025-08-19 18:00:50.675308,2.79,976,872.85,118.59,0.2398,37.35,6.1e-05,True
2025-08-19 18:01:50.675308,37.78,176,301.9,22.62,0.8165,32.78,0.001287,False
2025-08-19 18:02:50.675308,58.0,211,337.68,18.15,0.9398,22.08,0.036741,False
2025-08-19 18:03:50.675308,25.63,177,243.8,7.14,0.786,35.0,0.026699,False
2025-08-19 18:04:50.675308,76.27,203,411.27,5.29,0.7346,23.97,0.001,False
2025-08-19 18:05:50.675308,42.09,188,395.1,2.74,0.7989,27.26,0.001,False
2025-08-19 18:06:50.675308,44.87,209,336.11,12.14,0.7,25.12,0.015094,False
2025-08-19 18:07:50.675308,32.78,209,301.04,23.51,0.951,29.93,0.015908,False
2025-08-19 18:08:50.675308,24.0,208,318.37,3.2,0.9423,23.61,0.010502,False
2025-08-19 18:09:50.675308,54.66,187,314.68,2.39,0.7799,25.57,0.034875,False
2025-08-19 18:10:50.675308,92.36,2,936.6,0.28,0.1872,-4.97,0.000391,True
2025-08-19 18:11:50.675308,48.53,205,361.67,3.2,0.7041,16.1,0.007471,False
